Time,PMON 1 (C),PMON_2 (C),PMON_3 (C),PMON_4 (C),PMON_5 (C),PMON_6 (C)
16:24:41,35.70,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:42,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:42,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:43,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:43,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:44,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:45,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:45,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:46,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:46,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:47,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:47,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:48,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:48,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:49,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:49,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:50,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:50,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:51,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:52,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:52,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:53,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:53,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:54,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:54,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:55,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:55,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:56,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:56,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:57,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:57,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:58,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:58,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:24:59,35.66,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:00,35.66,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:00,35.66,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:01,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:01,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:02,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:02,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:03,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:03,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:04,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:04,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:05,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:05,35.69,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:06,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:07,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:07,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:08,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:08,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:09,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:09,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:10,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:10,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:11,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:11,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:12,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:12,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:13,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:13,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:14,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:15,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:15,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:16,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:16,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:17,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:17,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:18,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:18,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:19,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:19,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:20,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:20,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:21,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:21,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:22,35.68,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:23,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:23,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:24,35.67,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
16:25:24,35.66,DISCONNECTED,23.74,22.65,25.03,DISCONNECTED
